F607,1334906,1334936,LBY,PETERSON,ERIKA,2011-7-30,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-7-30,2011-7-30
F607,1335446,1338034,LBY,OREKHOV,ERIN DOYLE,2011-8-1,2011,2012,"DEUTSCHE BANK SECURITIES, INC.",0,2011-8-1,2011-8-1
F607,E00032,1326545,LBY,KOZUCH,RANDY,2011-3-14,2011,2012,NATIONAL RIFLE ASSOCIATION - INSTITUTE FOR LEGISLATIVE ACTION,0,2011-3-14,2011-3-14
F607,1334680,1334692,LBY,HOLIHEN,TIMOTHY P.,2011-3-28,2011,2012,J.P. MORGAN ASSET MANAGEMENT,0,2011-3-28,2011-3-28
F607,1275432,1275435,LBY,HORTON,CALETHIA,2011-3-24,2007,2008,HORTON LOBBYING FIRM,0,2011-3-24,2011-3-24
F607,1275432,1275435,LBY,HORTON,CALETHIA,2011-3-24,2009,2010,HORTON LOBBYING FIRM,0,2011-3-24,2011-3-24
F607,E00032,1326546,LBY,COX,CHRISTOPHER W.,2011-6-21,2011,2012,NATIONAL RIFLE ASSOCIATION - INSTITUTE FOR LEGISLATIVE ACTION,0,2011-6-21,2011-6-21
F607,1334988,1336150,LBY,RIMMER,SCOTT D.,2011-6-10,2011,2012,STATE STREET BANK AND TRUST COMPANY,0,2011-6-10,2011-6-10
F607,1334889,1334888,LBY,ROTH,MIKE,2011-4-21,2011,2012,STARK & ROTH LLC,0,2011-4-21,2011-4-21
F607,1335802,1335806,LBY,PHELOUNG,LANDY,2011-5-2,2011,2012,"DWS INVESTMENTS DISTRIBUTORS, INC.",0,2011-5-2,2011-5-2
F607,1335437,1335440,LBY,GILCHRIST,CARL,2012-4-30,2011,2012,"BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A.",0,2012-4-30,2012-4-30
F607,1334906,1335173,LBY,FINEFROCK,LAURA,2011-10-31,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-10-31,2011-10-31
F607,1334988,1336547,LBY,RAND,NATHANIEL A.,2012-3-21,2011,2012,STATE STREET BANK AND TRUST COMPANY,0,2012-3-21,2012-3-21
F607,1334906,1334949,LBY,SADLON,JEANETTE,2011-9-30,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-30,2011-9-30
F607,1334906,1335183,LBY,FUNDERBURK,KATHRYN,2011-9-30,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-30,2011-9-30
F607,1334906,1335430,LBY,KAUFMAN,LILY-HAYES,2011-9-30,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-30,2011-9-30
F607,1334906,1335986,LBY,EGAN,LORRAINE,2011-9-30,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-30,2011-9-30
F607,1334906,1335176,LBY,ROSENBLATT,STEPHEN,2011-9-30,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-30,2011-9-30
F607,1334906,1334911,LBY,BLAIR,THOMAS,2011-9-30,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-30,2011-9-30
F607,1334906,1335984,LBY,ROSEN,STEVEN,2011-9-30,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-30,2011-9-30
F607,1284936,1284936,FRM,"MAESTAS STRATEGIC CONSULTING, INC.",,2011-10-5,2007,2008,,0,2011-10-5,2011-10-5
F607,1339028,1339033,LBY,MIZUNO,GOSHIN,2012-1-24,2011,2012,NOMURA ASSET MANAGEMENT U.S.A. INC. ('NAM-USA'),0,2012-1-24,2012-1-24
F607,1334988,1334715,LBY,TREMBLAY,NEIL,2011-7-30,2011,2012,STATE STREET BANK AND TRUST COMPANY,0,2011-7-30,2011-7-30
F607,1334988,1334993,LBY,RAYNES,SUSAN C.,2011-7-30,2011,2012,STATE STREET BANK AND TRUST COMPANY,0,2011-7-30,2011-7-30
F607,1335446,1335448,LBY,AKOUNDI,KEN,2011-9-13,2011,2012,"DEUTSCHE BANK SECURITIES, INC.",0,2011-9-13,2011-9-13
F607,1284936,L25123,LBY,MAESTAS,KATHERINE ELIZABETH,2011-10-5,2007,2008,"MAESTAS STRATEGIC CONSULTING, INC.",0,2011-10-5,2011-10-5
F607,1339028,1339030,LBY,BABIKOVA,ALLA,2012-1-25,2011,2012,NOMURA ASSET MANAGEMENT U.S.A. INC. ('NAM-USA'),0,2012-1-25,2012-1-25
F607,1340578,1340580,LBY,FRATER,JOYCE R.,2011-10-6,2011,2012,"MORGAN STANLEY REALTY INCORPORATED AND ITS AFFILIATED COMPANY MORGAN STANLEY REAL ESTATE ADVISOR, INC.",0,2011-10-6,2011-10-6
F607,1340578,1340581,LBY,MAC DONNELL,JEFFREY H.,2011-10-6,2011,2012,"MORGAN STANLEY REALTY INCORPORATED AND ITS AFFILIATED COMPANY MORGAN STANLEY REAL ESTATE ADVISOR, INC.",0,2011-10-6,2011-10-6
F607,1339028,1339034,LBY,OKABE,KYOKO,2012-2-22,2011,2012,NOMURA ASSET MANAGEMENT U.S.A. INC. ('NAM-USA'),0,2012-2-22,2012-2-22
F607,1335446,1335451,LBY,HAUGH,JOHN,2011-10-12,2011,2012,"DEUTSCHE BANK SECURITIES, INC.",0,2011-10-12,2011-10-12
F607,1334906,1335186,LBY,ROBERTS,BEN,2011-9-29,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-29,2011-9-29
F607,1334906,1335177,LBY,VAN SON,BERNADETTE,2011-9-29,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-29,2011-9-29
F607,1334906,1335427,LBY,BOYSE,BRAD,2011-9-29,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-29,2011-9-29
F607,1334906,1335181,LBY,ERNST,HERBERT (JAY),2011-9-29,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-29,2011-9-29
F607,1334906,1336225,LBY,BLECK,JACQUELINE,2011-9-29,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-29,2011-9-29
F607,1335446,1335449,LBY,CHEN-OSTER,CRISTINA,2011-10-12,2011,2012,"DEUTSCHE BANK SECURITIES, INC.",0,2011-10-12,2011-10-12
F607,1335446,1335450,LBY,GIANCHANDANI,ALKESH,2011-10-12,2011,2012,"DEUTSCHE BANK SECURITIES, INC.",0,2011-10-12,2011-10-12
F607,1335446,1335453,LBY,MARINO,REMY,2011-10-12,2011,2012,"DEUTSCHE BANK SECURITIES, INC.",0,2011-10-12,2011-10-12
F607,1335446,1335454,LBY,MOTWANI,NATASHA,2011-10-12,2011,2012,"DEUTSCHE BANK SECURITIES, INC.",0,2011-10-12,2011-10-12
F607,1334906,1336365,LBY,BERGIN,JAMES,2011-9-29,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-29,2011-9-29
F607,1334906,1335182,LBY,FEINBERG,JAMIE,2011-9-29,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-29,2011-9-29
F607,E00032,1326546,LBY,COX,CHRISTOPHER W.,2012-2-3,2011,2012,NATIONAL RIFLE ASSOCIATION - INSTITUTE FOR LEGISLATIVE ACTION,0,2012-2-3,2012-2-3
F607,1334906,1334912,LBY,BLANEY,TERENCE,2011-9-29,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-29,2011-9-29
F607,1334906,1335428,LBY,BURNS,ERIC,2011-9-29,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-29,2011-9-29
F607,1337494,1337495,LBY,WILLIAMS,MARK STEPHEN,2012-4-4,2011,2012,TT INTERNATIONAL,0,2012-4-4,2012-4-4
F607,1337494,1337496,LBY,PLUCK,MARTIN ASCROFT,2012-4-4,2011,2012,TT INTERNATIONAL,0,2012-4-4,2012-4-4
F607,1337494,1337497,LBY,HUNT,ROBIN ANTHONY ELLIOT,2012-4-4,2011,2012,TT INTERNATIONAL,0,2012-4-4,2012-4-4
F607,1337494,1337498,LBY,PEPPER,DONALD KENNEDY,2012-4-4,2011,2012,TT INTERNATIONAL,0,2012-4-4,2012-4-4
F607,1334906,1340521,LBY,HILL,ERIC,2011-11-15,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-11-15,2011-11-15
F607,1334988,1335702,LBY,EICHENBERGER,THOMAS E.,2011-9-7,2011,2012,STATE STREET BANK AND TRUST COMPANY,0,2011-9-7,2011-9-7
F607,1334906,1334908,LBY,ANDERSON,JEFF,2011-11-15,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-11-15,2011-11-15
F607,1334906,1334953,LBY,WU,JOHNNY,2011-11-15,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-11-15,2011-11-15
F607,1339028,1339034,LBY,OKABE,KYOKO,2012-2-24,2011,2012,NOMURA ASSET MANAGEMENT U.S.A. INC. ('NAM-USA'),1,2012-2-24,2012-2-24
F607,1339028,1339030,LBY,BABIKOVA,ALLA,2012-2-24,2011,2012,NOMURA ASSET MANAGEMENT U.S.A. INC. ('NAM-USA'),1,2012-2-24,2012-2-24
F607,1339028,1339033,LBY,MIZUNO,GOSHIN,2012-2-24,2011,2012,NOMURA ASSET MANAGEMENT U.S.A. INC. ('NAM-USA'),1,2012-2-24,2012-2-24
F607,1334906,1335184,LBY,O'KEEFFE,PATRICK,2011-9-15,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-15,2011-9-15
F607,1334906,1334909,LBY,BAUER,ALEX,2011-9-30,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-30,2011-9-30
F607,1334906,1335171,LBY,BAKER,DARREN,2011-9-30,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-30,2011-9-30
F607,1334906,1334926,LBY,MC CARTHY,DAVID,2011-9-30,2011,2012,"BARCLAYS CAPITAL, INC.",0,2011-9-30,2011-9-30
F607,1334988,1340144,LBY,QUIGLEY,SEAN E.,2011-9-30,2011,2012,STATE STREET BANK AND TRUST COMPANY,0,2011-9-30,2011-9-30
F607,1345404,1345404,FRM,TEST - FIRM - MARCH  2012,,2012-3-3,2011,2012,,0,2012-3-3,2012-3-3
F607,1345408,1345409,LBY,TEST - LOBBYIST - MARCH  2012,,2012-3-3,2011,2012,TEST - EMPLOYER - MARCH  2012,0,2012-3-3,2012-3-3
F607,1345404,1345409,LBY,TEST - LOBBYIST - MARCH  2012,WARREN,2012-3-3,2011,2012,TEST - FIRM - MARCH  2012,0,2012-3-3,2012-3-3
F607,1335965,1335968,LBY,EVANS,LYNN,2011-10-31,2011,2012,"BLACKROCK CAPITAL MANAGEMENT, INC.",0,2011-10-31,2011-10-31
F607,1335969,1335972,LBY,KETKAR,RESHMA,2011-10-31,2011,2012,"BLACKROCK FINANCIAL MANAGEMENT, INC.",0,2011-10-31,2011-10-31
F607,1336773,1336774,LBY,LINDSEY,MELVIN,2012-11-27,2011,2012,ARTIO GLOBAL MANAGEMENT LLC,0,2012-11-27,2012-11-27
F607,1336773,1336775,LBY,NGUYEN,HIEN,2012-11-27,2011,2012,ARTIO GLOBAL MANAGEMENT LLC,0,2012-11-27,2012-11-27
F607,1338168,1338168,FRM,STELLATE PARTNERS LLC,,2012-11-6,2011,2012,,0,2012-11-6,2012-11-6
F607,1342889,1343071,LBY,EWING,ELIZABETH,2012-10-15,2011,2012,"CARLSON CAPITAL, L.P.",0,2012-10-15,2012-10-15
F607,E00582,L00081,LBY,WALL,DANIEL J.,2012-12-12,2013,2014,LOS ANGELES; COUNTY OF,0,2012-12-12,2012-12-12
F607,1339756,1339753,LBY,Rosner,Allison B.,2012-12-20,2013,2014,Warburg Pincus LLC,0,2012-12-20,2012-12-20
F607,1339756,1339754,LBY,Zimmerman,Rosanne,2012-12-20,2013,2014,Warburg Pincus LLC,0,2012-12-20,2012-12-20
F607,1339756,1339763,LBY,Schneider,Steven G.,2012-12-20,2013,2014,Warburg Pincus LLC,0,2012-12-20,2012-12-20
F607,1339756,1339752,LBY,Dhanraj,Puja K.,2012-12-20,2013,2014,Warburg Pincus LLC,0,2012-12-20,2012-12-20
F607,1339756,1339755,LBY,Shearburn,John W.,2012-12-20,2013,2014,Warburg Pincus LLC,0,2012-12-20,2012-12-20
F607,1334342,1334342,FRM,ORIGINEERING,,2012-12-22,2011,2012,,0,2012-12-22,2012-12-22
F607,1334988,1354064,LBY,MULLEN,GREG,2013-1-9,2013,2014,STATE STREET BANK AND TRUST COMPANY,0,2013-1-9,2013-1-9
F607,1224235,1224235,FRM,PRINGLE & ASSOCIATES; CURT,,2013-1-15,2013,2014,,0,2013-1-15,2013-1-15
F607,1318355,1243440,LBY,MANALO-LE CLAIR,GEORGE A.,2013-1-25,2011,2012,CALIFORNIA FOOD POLICY ADVOCATES,0,2013-1-25,2013-1-25
F607,1318284,1334230,LBY,WEBER,WILLIAM,2013-4-29,2013,2014,BAKER & HOSTETLER LLP,0,2013-4-29,2013-4-29
F607,1353789,1353789,LBY,Wang,Jessica,2013-1-1,2013,2014,"Irving Place Capital Management, L.P. (d/b/a Irving Place Capital)",0,2013-1-1,2013-1-1
F607,1356869,1356870,LBY,BYNUM,MARY E.,2014-1-28,2013,2014,COMAC CAPITAL LLP,0,2014-1-28,2014-1-28
F607,1338105,1338111,LBY,HASLIP,JOSEPH J.,2013-7-30,2013,2014,BLUE HARBOUR GROUP,0,2013-7-30,2013-7-30
F607,1357128,1357129,LBY,SUGARMAN,EMMA,2013-12-30,2013,2014,"ORCHARD SQUARE PARTNERS, LLC",0,2013-12-30,2013-12-30
F607,1308657,1308657,FRM,KATZ; ANDY,,2013-5-8,2011,2012,,0,2013-5-8,2013-5-8
F607,1334652,1334652,FRM,KEENE CONSULTING,,2013-6-30,2013,2014,,0,2013-6-30,2013-6-30
F607,1334481,1334473,LBY,HERNANDEZ,THERESE,2013-7-25,2013,2014,MACKAY SHIELDS LLC,0,2013-7-25,2013-7-25
F607,1334481,1334474,LBY,KASHEVAROFF,KIRK,2013-7-25,2013,2014,MACKAY SHIELDS LLC,0,2013-7-25,2013-7-25
F607,1339718,1339745,LBY,TERJANIAN,MIGIR P.,2013-6-14,2013,2014,"SUSTAINABLE ASSET MANAGEMENT, USA",0,2013-6-14,2013-6-14
F607,1338488,1349346,LBY,REILLY,DAVID M.,2013-10-29,2013,2014,ARES MANAGEMENT LLC,0,2013-10-29,2013-10-29
F607,1334636,1354894,LBY,WARBURTON,LILA,2014-1-8,2013,2014,PROVIDENCE EQUITY PARTNERS L.L.C. AND AFFILIATED ENTITIES,0,2014-1-8,2014-1-8
F607,1334652,1334653,LBY,KEENE,RICK,2013-6-30,2013,2014,KEENE CONSULTING,0,2013-6-30,2013-6-30
